_ID,TimeSt,Country,Province,City,Latitude,Longitude,POIID,Latitude2,Longitude2,distance,min(distance)
4615224,05:13.0,CA,AB,Calgary,50.93676,-114.0107,POI1,53.546167,-113.485734,292.5573,292.5573
4615306,05:14.1,CA,AB,Edmonton,53.5943,-113.42385,POI1,53.546167,-113.485734,6.7458286,6.7458286
4615398,05:14.4,CA,AB,Calgary,51.133,-113.856,POI1,53.546167,-113.485734,269.70438,269.70438
4615421,05:12.1,CA,ON,Vaughan,43.8156,-79.4534,POI3,45.521629,-73.566024,503.73615,503.73615
4615489,05:11.7,CA,ON,Brampton,43.6656,-79.747,POI3,45.521629,-73.566024,532.17377,532.17377
4615551,05:12.2,CA,ON,Newmarket,44.039,-79.4724,POI3,45.521629,-73.566024,495.51474,495.51474
4615645,05:16.4,CA,AB,Airdrie,51.2846,-113.97943,POI1,53.546167,-113.485734,253.88655,253.88655
4615659,05:16.4,CA,QC,Montréal,45.5378,-73.6941,POI3,45.521629,-73.566024,10.165054,10.165054
4615733,05:16.5,CA,QC,Montréal,45.5378,-73.6941,POI3,45.521629,-73.566024,10.165054,10.165054
4615780,05:16.7,CA,ON,Thorold,43.11236,-79.21945,POI3,45.521629,-73.566024,524.30164,524.30164
4615805,05:15.4,CA,AB,Calgary,51.03922,-113.97842,POI1,53.546167,-113.485734,280.97134,280.97134
4615862,05:15.7,CA,AB,Calgary,51.03922,-113.97842,POI1,53.546167,-113.485734,280.97134,280.97134
4615955,05:15.8,CA,AB,Calgary,51.1581,-113.938,POI1,53.546167,-113.485734,267.5091,267.5091
4616019,05:16.1,CA,AB,Calgary,51.169,-114.149,POI1,53.546167,-113.485734,268.3458,268.3458
4616054,05:16.3,CA,AB,Calgary,51.0475,-114.068,POI1,53.546167,-113.485734,280.85474,280.85474
4616085,05:18.0,CA,AB,Beaumont,53.35874,-113.40559,POI1,53.546167,-113.485734,21.5284,21.5284
4616176,05:14.6,CA,AB,Edmonton,53.4398,-113.53742,POI1,53.546167,-113.485734,12.325174,12.325174
4616189,05:15.7,CA,ON,Toronto,43.6736,-79.4035,POI3,45.521629,-73.566024,506.77283,506.77283
4616225,05:16.2,CA,AB,Calgary,51.1581,-113.938,POI1,53.546167,-113.485734,267.5091,267.5091
4616294,05:17.7,CA,AB,Calgary,51.0419,-114.2,POI1,53.546167,-113.485734,282.88208,282.88208
4616428,05:17.7,CA,AB,Calgary,51.0494,-113.9564,POI1,53.546167,-113.485734,279.67026,279.67026
4616491,05:18.1,CA,AB,Calgary,51.0494,-113.9564,POI1,53.546167,-113.485734,279.67026,279.67026
4616590,05:20.2,CA,AB,Edmonton,53.4564,-113.521,POI1,53.546167,-113.485734,10.26109,10.26109
4616739,05:20.7,CA,ON,Oakville,43.4309,-79.7767,POI3,45.521629,-73.566024,545.8196,545.8196
4616801,05:18.0,CA,AB,Calgary,51.0329,-113.9836,POI1,53.546167,-113.485734,281.71207,281.71207
4616803,05:20.5,CA,AB,Edmonton,53.44183,-113.58934,POI1,53.546167,-113.485734,13.4953985,13.4953985
4616909,05:19.6,CA,AB,Airdrie,51.2889,-114.015,POI1,53.546167,-113.485734,253.74402,253.74402
